Formation Energy,E Above Hull,Band Gap,Nsites,Density,Volume,Crystal System
-2.5980000000000003,0.024,2.9789999999999996,56,2.875,715.6289999999999,orthorhombic
-2.365,0.07,1.527,28,3.029,346.421,orthorhombic
-2.25,0.076,0.005,42,3.318,552.4019999999999,triclinic
-2.597,0.025,2.8739999999999997,14,2.863,179.638,orthorhombic
-2.608,0.013999999999999999,2.967,112,2.8489999999999998,1444.106,monoclinic
-2.9389999999999996,0.073,3.783,68,2.29,989.6460000000001,orthorhombic
-2.347,0.08900000000000001,1.494,84,2.9989999999999997,1049.613,monoclinic
-2.37,0.066,1.194,56,3.014,696.1289999999999,orthorhombic
-2.6319999999999997,0.057999999999999996,1.238,20,3.405,212.692,monoclinic
-2.5639999999999996,0.057999999999999996,2.73,28,2.8560000000000003,360.121,orthorhombic
-2.7430000000000003,0.038,2.78,92,3.1039999999999996,983.89,orthorhombic
-2.7689999999999997,0.077,3.188,64,2.517,929.064,monoclinic
-2.551,0.07,2.6310000000000002,28,2.984,344.70599999999996,orthorhombic
-2.955,0.063,3.031,31,2.7110000000000003,400.68,monoclinic
-2.78,0.08,1.2,80,3.306,860.04,orthorhombic
-2.5639999999999996,0.06,1.331,30,3.0260000000000002,347.51300000000003,monoclinic
-2.8360000000000003,0.122,2.611,92,2.508,1248.278,orthorhombic
-2.439,0.092,0.361,56,3.909,566.4069999999999,triclinic
-2.524,0.099,0.976,22,3.031,258.368,triclinic
-2.862,0.07,3.06,34,2.74,418.36800000000005,triclinic
-2.73,0.076,2.6239999999999997,66,3.023,731.2360000000001,orthorhombic
-2.556,0.069,1.923,30,2.891,363.781,monoclinic
-2.529,0.08199999999999999,0.17600000000000002,35,2.94,428.648,triclinic
-2.369,0.066,1.374,28,3.015,347.967,monoclinic
-2.481,0.08800000000000001,0.889,60,3.573,602.169,orthorhombic
-2.7680000000000002,0.081,0.0,38,2.958,464.73,triclinic
-2.438,0.057,0.315,30,3.035,353.345,monoclinic
-2.426,0.114,0.0,39,2.753,547.911,triclinic
-2.802,0.061,3.072,66,2.661,827.3760000000001,orthorhombic
-2.623,0.054000000000000006,0.11,84,3.55,864.216,orthorhombic
-2.9419999999999997,0.069,3.823,68,2.31,980.8789999999999,monoclinic
-2.56,0.062,2.5869999999999997,14,2.947,174.53400000000002,monoclinic
-2.687,0.053,3.233,22,2.861,261.142,monoclinic
-2.9810000000000003,0.09300000000000001,2.647,88,2.807,1077.384,orthorhombic
-2.343,0.024,2.47,45,3.408,547.9590000000001,triclinic
-2.705,0.0,3.052,16,3.0389999999999997,175.842,orthorhombic
-2.747,0.016,2.5780000000000003,36,3.3339999999999996,421.286,monoclinic
-2.8760000000000003,0.109,0.264,48,2.309,687.797,monoclinic
-2.365,0.07200000000000001,2.4930000000000003,11,2.625,157.939,orthorhombic
-2.5980000000000003,0.051,3.159,52,3.1489999999999996,619.645,monoclinic
-2.5660000000000003,0.055,2.955,14,2.6439999999999997,194.528,monoclinic
-2.95,0.055,3.3760000000000003,100,2.634,1342.122,orthorhombic
-2.785,0.036000000000000004,2.596,80,3.2510000000000003,878.288,triclinic
-2.352,0.083,0.77,28,3.736,280.858,orthorhombic
-2.603,0.046,3.1289999999999996,26,3.4139999999999997,285.751,orthorhombic
-2.833,0.076,3.0410000000000004,14,2.524,185.49900000000002,triclinic
-2.6189999999999998,0.006999999999999999,3.4010000000000002,32,3.005,357.648,monoclinic
-2.8369999999999997,0.013000000000000001,1.892,38,3.1889999999999996,431.059,triclinic
-2.496,0.052000000000000005,0.988,46,2.4,471.249,monoclinic
-2.444,0.048,1.9409999999999998,46,2.4090000000000003,474.87,monoclinic
-2.591,0.076,2.7439999999999998,64,2.658,899.635,orthorhombic
-2.783,0.013000000000000001,3.015,38,2.908,436.18300000000005,monoclinic
-2.339,0.09699999999999999,0.736,28,3.605,291.06,orthorhombic
-2.352,0.083,1.403,84,3.017,1043.295,monoclinic
